,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
0,Зеленая миля,The Green Mile,1999,189,США,драма,Фрэнк Дарабонт,"['Том Хэнкс', 'Дэвид Морс']",9.1,114573
1,1+1,Intouchables,2011,112,Франция,драма,Оливье Накаш,"['Франсуа Клюзе', 'Омар Си']",9.0,442253
2,Побег из Шоушенка,The Shawshank Redemption,1994,142,США,драма,Фрэнк Дарабонт,"['Тим Роббинс', 'Морган Фриман']",9.0,119564
3,Форрест Гамп,Forrest Gump,1994,142,США,драма,Роберт Земекис,"['Том Хэнкс', 'Робин Райт']",9.0,109984
4,Интерстеллар,Interstellar,2014,169,США,фантастика,Кристофер Нолан,"['Мэттью Макконахи', 'Энн Хэтэуэй']",8.9,109489
5,Унесённые призраками,Sen to Chihiro no kamikakushi,2001,125,Япония,аниме,Хаяо Миядзаки,"['Руми Хиираги', 'Мию Ирино']",8.9,100986
6,Властелин колец: Возвращение короля,The Lord of the Rings: The Return of the King,2003,201,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Вигго Мортенсен']",8.9,42339
7,Бойцовский клуб,Fight Club,1999,139,США,триллер,Дэвид Финчер,"['Эдвард Нортон', 'Брэд Питт']",8.8,230085
8,Список Шиндлера,Schindler's List,1993,195,США,драма,Стивен Спилберг,"['Лиам Нисон', 'Бен Кингсли']",8.8,38297
9,Шрэк,Shrek,2001,90,США,мультфильм,Эндрю Адамсон,"['Майк Майерс', 'Эдди Мерфи']",8.8,202677
10,Криминальное чтиво,Pulp Fiction,1994,154,США,криминал,Квентин Тарантино,"['Джон Траволта', 'Сэмюэл Л. Джексон']",8.8,96106
11,Властелин колец: Братство Кольца,The Lord of the Rings: The Fellowship of the Ring,2001,178,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Иэн Маккеллен']",8.8,55491
12,Властелин колец: Две крепости,The Lord of the Rings: The Two Towers,2002,179,Новая Зеландия,фэнтези,Питер Джексон,"['Элайджа Вуд', 'Иэн Маккеллен']",8.8,39518
13,Иван Васильевич меняет профессию,,1973,88,СССР,комедия,Леонид Гайдай,"['Александр Демьяненко', 'Юрий Яковлев']",8.7,181103
14,Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,,1981,154,СССР,детектив,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.7,51538
15,Достучаться до небес,Knockin' on Heaven's Door,1997,87,Германия,драма,Томас Ян,"['Тиль Швайгер', 'Ян Йозеф Лиферс']",8.7,126722
16,Ходячий замок,Howl no Ugoku Shiro,2004,119,Япония,аниме,Хаяо Миядзаки,"['Тиэко Байсё', 'Такуя Кимура']",8.7,91844
17,Остров проклятых,Shutter Island,2009,138,США,триллер,Мартин Скорсезе,"['Леонардо ДиКаприо', 'Марк Руффало']",8.7,178893
18,Шерлок Холмс и доктор Ватсон: Знакомство,,1979,68,СССР,криминал,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.7,55032
19,Леон,Léon,1994,133,Франция,боевик,Люк Бессон,"['Жан Рено', 'Натали Портман']",8.7,141524
20,Терминатор 2: Судный день,Terminator 2: Judgment Day,1991,137,США,фантастика,Джеймс Кэмерон,"['Арнольд Шварценеггер', 'Линда Хэмилтон']",8.7,105217
21,Начало,Inception,2010,148,США,фантастика,Кристофер Нолан,"['Леонардо ДиКаприо', 'Джозеф Гордон-Левитт']",8.7,70311
22,Операция «Ы» и другие приключения Шурика,,1965,95,СССР,комедия,Леонид Гайдай,"['Александр Демьяненко', 'Наталья Селезнёва']",8.7,184611
23,Джентльмены удачи,,1971,84,СССР,комедия,Александр Серый,"['Евгений Леонов', 'Георгий Вицин']",8.7,150120
24,Тайна Коко,Coco,2017,105,США,мультфильм,Ли Анкрич,"['Энтони Гонсалес', 'Гаэль Гарсиа Берналь']",8.7,103640
25,...А зори здесь тихие,,1972,160,СССР,драма,Станислав Ростоцкий,"['Елена Драпеко', 'Екатерина Маркова']",8.6,38694
26,Зеленая книга,Green Book,2018,130,США,биография,Питер Фаррелли,"['Вигго Мортенсен', 'Махершала Али']",8.6,223051
27,Темный рыцарь,The Dark Knight,2008,152,США,фантастика,Кристофер Нолан,"['Кристиан Бэйл', 'Хит Леджер']",8.6,54697
28,Шрэк 2,Shrek 2,2004,93,США,мультфильм,Эндрю Адамсон,"['Майк Майерс', 'Эдди Мерфи']",8.6,165886
29,Джентльмены,The Gentlemen,2019,113,США,криминал,Гай Ричи,"['Мэттью Макконахи', 'Чарли Ханнэм']",8.6,379529
30,Король Лев,The Lion King,1994,88,США,мультфильм,Роджер Аллерс,"['Мэттью Бродерик', 'Джереми Айронс']",8.6,70940
31,Как приручить дракона,How to Train Your Dragon,2010,98,США,мультфильм,Дин ДеБлуа,"['Джей Барушель', 'Джерард Батлер']",8.6,109483
32,Москва слезам не верит,,1979,150,СССР,мелодрама,Владимир Меньшов,"['Вера Алентова', 'Ирина Муравьёва']",8.6,148949
33,Они сражались за Родину,,1975,160,СССР,драма,Сергей Бондарчук,"['Василий Шукшин', 'Вячеслав Тихонов']",8.6,41466
34,Хатико: Самый верный друг,Hachi: A Dog's Tale,2008,89,США,драма,Лассе Халльстрём,"['Ричард Гир', 'Джоан Аллен']",8.6,84758
35,"Поймай меня, если сможешь",Catch Me If You Can,2002,141,США,криминал,Стивен Спилберг,"['Леонардо ДиКаприо', 'Том Хэнкс']",8.6,118708
36,Назад в будущее,Back to the Future,1985,116,США,фантастика,Роберт Земекис,"['Майкл Дж. Фокс', 'Кристофер Ллойд']",8.6,55367
37,Собачье сердце,,1988,136,СССР,драма,Владимир Бортко,"['Евгений Евстигнеев', 'Владимир Толоконников']",8.6,80834
38,Бриллиантовая рука,,1968,94,СССР,комедия,Леонид Гайдай,"['Юрий Никулин', 'Андрей Миронов']",8.6,151021
39,Девчата,,1962,92,СССР,мелодрама,Юрий Чулюкин,"['Надежда Румянцева', 'Николай Рыбников']",8.6,146211
40,Большой куш,Snatch,2000,104,Великобритания,криминал,Гай Ричи,"['Джейсон Стэйтем', 'Стивен Грэм']",8.6,90998
41,Брат,,1997,100,Россия,драма,Алексей Балабанов,"['Сергей Бодров мл.', 'Виктор Сухоруков']",8.6,294798
42,"Кавказская пленница, или Новые приключения Шурика",,1966,82,СССР,комедия,Леонид Гайдай,"['Александр Демьяненко', 'Наталья Варлей']",8.5,148856
43,Офицеры,,1971,91,СССР,драма,Владимир Роговой,"['Георгий Юматов', 'Василий Лановой']",8.5,43077
44,Брат 2,,2000,127,Россия,боевик,Алексей Балабанов,"['Сергей Бодров мл.', 'Виктор Сухоруков']",8.5,187916
45,Гладиатор,Gladiator,2000,155,США,история,Ридли Скотт,"['Рассел Кроу', 'Хоакин Феникс']",8.5,77325
46,ВАЛЛ·И,WALL·E,2008,98,США,мультфильм,Эндрю Стэнтон,"['Бен Бертт', 'Элисса Найт']",8.5,80615
47,В бой идут одни «старики»,,1973,87,СССР,военный,Леонид Быков,"['Леонид Быков', 'Сергей Подгорный']",8.5,78706
48,Мой сосед Тоторо,Tonari no Totoro,1988,86,Япония,аниме,Хаяо Миядзаки,"['Норико Хидака', 'Тика Сакамото']",8.5,48242
49,Клаус,Klaus,2019,96,Испания,мультфильм,Серхио Паблос,"['Джейсон Шварцман', 'Дж.К. Симмонс']",8.5,28519
50,Пианист,The Pianist,2002,149,Франция,драма,Роман Полански,"['Эдриан Броуди', 'Эмилия Фокс']",8.5,53315
51,"Карты, деньги, два ствола","Lock, Stock and Two Smoking Barrels",1998,107,Великобритания,боевик,Гай Ричи,"['Джейсон Флеминг', 'Декстер Флетчер']",8.5,38436
52,Служебный роман,,1977,159,СССР,мелодрама,Эльдар Рязанов,"['Андрей Мягков', 'Алиса Фрейндлих']",8.5,124455
53,Жизнь прекрасна,La vita è bella,1997,116,Италия,военный,Роберто Бениньи,"['Роберто Бениньи', 'Николетта Браски']",8.5,14876
54,Мой Хатико,Zhong quan ba gong,2023,125,Китай,драма,Сюй Ан,"['Фэн Сяоган', 'Хуан Сюн']",8.5,76463
55,Принцесса Мононоке,Mononoke-hime,1997,134,Япония,аниме,Хаяо Миядзаки,"['Ёдзи Мацуда', 'Юрико Исида']",8.5,30766
56,Гордость и предубеждение,Pride & Prejudice,2005,129,Великобритания,драма,Джо Райт,"['Кира Найтли', 'Мэттью Макфэдиен']",8.4,115723
57,Гарри Поттер и философский камень,Harry Potter and the Sorcerer's Stone,2001,152,Великобритания,фэнтези,Крис Коламбус,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.4,141211
58,Укрощение строптивого,Il bisbetico domato,1980,107,Италия,мелодрама,Франко Кастеллано,"['Адриано Челентано', 'Орнелла Мути']",8.4,90149
59,Волк с Уолл-стрит,The Wolf of Wall Street,2013,180,США,драма,Мартин Скорсезе,"['Леонардо ДиКаприо', 'Джона Хилл']",8.4,247462
60,Песнь моря,Song of the Sea,2014,93,Ирландия,мультфильм,Томм Мур,"['Дэвид Роул', 'Брендан Глисон']",8.4,29309
61,Пираты Карибского моря: Проклятие Черной жемчужины,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,США,фэнтези,Гор Вербински,"['Джонни Депп', 'Джеффри Раш']",8.4,113532
62,Судьба человека,,1959,97,СССР,драма,Сергей Бондарчук,"['Сергей Бондарчук', 'Павел Полунин']",8.4,26926
63,Пятый элемент,The Fifth Element,1997,126,Франция,фантастика,Люк Бессон,"['Брюс Уиллис', 'Милла Йовович']",8.4,114192
64,Тот самый Мюнхгаузен,,1979,134,СССР,фэнтези,Марк Захаров,"['Олег Янковский', 'Инна Чурикова']",8.4,25266
65,Ведьмина служба доставки,Majo no takkyûbin,1989,103,Япония,аниме,Хаяо Миядзаки,"['Минами Такаяма', 'Рэи Сакума']",8.4,29171
66,Титаник,Titanic,1997,194,США,мелодрама,Джеймс Кэмерон,"['Леонардо ДиКаприо', 'Кейт Уинслет']",8.4,105583
67,Матрица,The Matrix,1999,136,США,фантастика,Лана Вачовски,"['Киану Ривз', 'Лоренс Фишбёрн']",8.4,56511
68,Человек-паук: Паутина вселенных,Spider-Man: Across the Spider-Verse,2023,140,США,мультфильм,Жуакин Душ Сантуш,"['Шамеик Мур', 'Хейли Стайнфелд']",8.4,120491
69,Одержимость,Whiplash,2013,106,США,драма,Дэмьен Шазелл,"['Майлз Теллер', 'Дж.К. Симмонс']",8.4,99277
70,Гарри Поттер и узник Азкабана,Harry Potter and the Prisoner of Azkaban,2004,142,Великобритания,фэнтези,Альфонсо Куарон,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.4,80001
71,Маленький принц,Le Petit Prince,2015,108,Франция,мультфильм,Марк Осборн,"['Джефф Бриджес', 'Маккензи Фой']",8.4,40973
72,Пеле: Рождение легенды,Pelé: Birth of a Legend,2015,107,США,биография,Джефф Цимбалист,"['Кевин де Паула', 'Леонардо Лима Карвальо']",8.4,95032
73,Крик тишины,,2019,97,Россия,драма,Владимир Потапов,"['Алина Саргина', 'Лев Гиршов']",8.4,83518
74,Лев,Lion,2016,118,Австралия,драма,Гарт Дэвис,"['Дев Патель', 'Николь Кидман']",8.4,75021
75,Иди и смотри,,1985,136,СССР,драма,Элем Климов,"['Алексей Кравченко', 'Ольга Миронова']",8.4,42378
76,Отступники,The Departed,2006,151,США,триллер,Мартин Скорсезе,"['Леонардо ДиКаприо', 'Мэтт Дэймон']",8.4,30915
77,Белый Бим Черное ухо,,1976,183,СССР,драма,Станислав Ростоцкий,"['Вячеслав Тихонов', 'Валентина Владимирова']",8.4,16575
78,12 разгневанных мужчин,12 Angry Men,1956,96,США,драма,Сидни Люмет,"['Генри Фонда', 'Мартин Болсам']",8.4,10020
79,Престиж,The Prestige,2006,130,Великобритания,триллер,Кристофер Нолан,"['Хью Джекман', 'Кристиан Бэйл']",8.4,35759
80,Хоббит: Нежданное путешествие,The Hobbit: An Unexpected Journey,2012,169,Новая Зеландия,фэнтези,Питер Джексон,"['Мартин Фриман', 'Иэн Маккеллен']",8.4,73760
81,Мужики!..,,1981,97,СССР,драма,Искра Бабич,"['Александр Михайлов', 'Ирина Иванова']",8.4,34045
82,Мадагаскар,Madagascar,2005,86,США,мультфильм,Эрик Дарнелл,"['Бен Стиллер', 'Крис Рок']",8.4,122390
83,Дело храбрых,Only the Brave,2017,134,США,драма,Джозеф Косински,"['Джош Бролин', 'Майлз Теллер']",8.4,90097
84,Шерлок Холмс и доктор Ватсон: Сокровища Агры,,1983,151,СССР,мелодрама,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.4,20470
85,В августе 44-го,,2001,118,Россия,боевик,Михаил Пташук,"['Евгений Миронов', 'Владислав Галкин']",8.4,75785
86,Человек-паук: Через вселенные,Spider-Man: Into the Spider-Verse,2018,117,Канада,мультфильм,Боб Персичетти,"['Шамеик Мур', 'Джейк Джонсон']",8.4,61275
87,Эрнест и Селестина: Приключения мышки и медведя,Ernest et Célestine,2012,80,Франция,мультфильм,Стефани Обье,"['Ламбер Вильсон', 'Полин Брюннер']",8.4,16445
88,Шоу Трумана,The Truman Show,1998,103,США,драма,Питер Уир,"['Джим Керри', 'Лора Линни']",8.4,79283
89,Хоббит: Битва пяти воинств,The Hobbit: The Battle of the Five Armies,2014,144,Новая Зеландия,фэнтези,Питер Джексон,"['Мартин Фриман', 'Иэн Маккеллен']",8.3,50841
90,Крестный отец,The Godfather,1972,175,США,драма,Фрэнсис Форд Коппола,"['Марлон Брандо', 'Аль Пачино']",8.3,33059
91,Джанго освобожденный,Django Unchained,2012,165,США,вестерн,Квентин Тарантино,"['Джейми Фокс', 'Кристоф Вальц']",8.3,65810
92,Вам и не снилось...,,1980,86,СССР,драма,Илья Фрэз,"['Татьяна Аксюта', 'Никита Михайловский']",8.3,38662
93,12 стульев,,1971,153,СССР,комедия,Леонид Гайдай,"['Арчил Гомиашвили', 'Сергей Филиппов']",8.3,50939
94,Навсикая из долины ветров,Kaze no tani no Naushika,1984,117,Япония,аниме,Хаяо Миядзаки,"['Суми Симамото', 'Махито Цудзимура']",8.3,16347
95,Вторая жизнь Уве,En man som heter Ove,2015,116,Швеция,драма,Ханнес Холм,"['Рольф Лассгор', 'Бахар Парс']",8.3,124134
96,Двухсотлетний человек,Bicentennial Man,1999,126,Германия,фантастика,Крис Коламбус,"['Робин Уильямс', 'Эмбет Дэвидц']",8.3,41715
97,Летят журавли,,1957,95,СССР,военный,Михаил Калатозов,"['Татьяна Самойлова', 'Алексей Баталов']",8.3,21613
98,Твоё имя,Kimi no na wa.,2016,110,Япония,аниме,Макото Синкай,"['Рюносукэ Камики', 'Монэ Камисираиси']",8.3,37772
99,Брестская крепость,,2010,131,Беларусь,военный,Александр Котт,"['Алексей Копашов', 'Андрей Мерзликин']",8.3,36678
100,Приключения Паддингтона 2,Paddington 2,2017,103,Великобритания,фэнтези,Пол Кинг,"['Бен Уишоу', 'Хью Бонневилль']",8.3,105868
101,Малышка на миллион,Million Dollar Baby,2004,132,США,драма,Клинт Иствуд,"['Клинт Иствуд', 'Хилари Суэнк']",8.3,54421
102,Укрась прощальное утро цветами обещания,Sayonara no asa ni yakusoku no hana o kazaro,2018,115,Япония,аниме,Мари Окада,"['Манака Ивами', 'Мию Ирино']",8.3,45251
103,Крестный отец 2,The Godfather: Part II,1974,202,США,драма,Фрэнсис Форд Коппола,"['Аль Пачино', 'Роберт Де Ниро']",8.3,15255
104,Остров сокровищ,,1988,107,СССР,мультфильм,Давид Черкасский,"['Владимир Заднепровский', 'Евгений Паперный']",8.3,46862
105,На войне как на войне,,1968,90,СССР,военный,Виктор Трегубович,"['Михаил Кононов', 'Олег Борисов']",8.3,15397
106,Сестрёнка,,2019,94,Россия,драма,Александр Галибин,"['Арслан Крымчурин', 'Марта Кесслер']",8.3,76654
107,Человек-паук,Spider-Man,2002,121,США,фантастика,Сэм Рэйми,"['Тоби Магуайр', 'Уиллем Дефо']",8.3,102792
108,Покровские ворота,,1982,140,СССР,мюзикл,Михаил Козаков,"['Олег Меньшиков', 'Леонид Броневой']",8.3,34410
109,Не может быть!,,1975,92,СССР,мелодрама,Леонид Гайдай,"['Михаил Пуговкин', 'Нина Гребешкова']",8.3,39488
110,Молчание ягнят,The Silence of the Lambs,1990,118,США,триллер,Джонатан Демме,"['Джоди Фостер', 'Энтони Хопкинс']",8.3,60305
111,Хоббит: Пустошь Смауга,The Hobbit: The Desolation of Smaug,2013,161,Новая Зеландия,фэнтези,Питер Джексон,"['Мартин Фриман', 'Ричард Армитедж']",8.3,47815
112,Люди в чёрном,Men in Black,1997,98,США,фантастика,Барри Зонненфельд,"['Томми Ли Джонс', 'Уилл Смит']",8.3,110304
113,Семь,Se7en,1995,127,США,триллер,Дэвид Финчер,"['Брэд Питт', 'Морган Фриман']",8.3,47645
114,Игры разума,A Beautiful Mind,2001,135,США,биография,Рон Ховард,"['Рассел Кроу', 'Эд Харрис']",8.3,29529
115,Холодное лето пятьдесят третьего...,,1987,102,СССР,драма,Александр Прошкин,"['Валерий Приёмыхов', 'Анатолий Папанов']",8.3,34039
116,Хранители снов,Rise of the Guardians,2012,97,США,мультфильм,Питер Рэмзи,"['Крис Пайн', 'Алек Болдуин']",8.3,63525
117,"Знакомьтесь, Джо Блэк",Meet Joe Black,1998,178,США,мелодрама,Мартин Брест,"['Брэд Питт', 'Энтони Хопкинс']",8.3,83875
118,Небесный замок Лапута,Tenkuu no Shiro Laputa,1986,125,Япония,аниме,Хаяо Миядзаки,"['Кэйко Ёкодзава', 'Маюми Танака']",8.3,16135
119,Рыбка Поньо на утесе,Gake no ue no Ponyo,2008,101,Япония,аниме,Хаяо Миядзаки,"['Юриа Нара', 'Хироки Дои']",8.3,27054
120,Гарри Поттер и Тайная комната,Harry Potter and the Chamber of Secrets,2002,161,Великобритания,фэнтези,Крис Коламбус,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.3,78869
121,Смех и горе у Бела моря,,1988,59,СССР,мультфильм,Леонид Носырев,"['Анатолий Баранцев', 'Евгений Леонов']",8.3,13651
122,Бесславные ублюдки,Inglourious Basterds,2009,153,Германия,боевик,Квентин Тарантино,"['Брэд Питт', 'Кристоф Вальц']",8.3,66992
123,Как прогулять школу с пользой,L'école buissonnière,2017,116,Франция,драма,Николя Ванье,"['Франсуа Клюзе', 'Жан Скандель']",8.3,88798
124,"Добро пожаловать, или Посторонним вход воспрещен",,1964,71,СССР,комедия,Элем Климов,"['Виктор Косых', 'Евгений Евстигнеев']",8.3,38988
125,Война,,2002,120,Россия,боевик,Алексей Балабанов,"['Алексей Чадов', 'Иэн Келли']",8.3,36734
126,По соображениям совести,Hacksaw Ridge,2016,139,Австралия,биография,Мэл Гибсон,"['Эндрю Гарфилд', 'Сэм Уортингтон']",8.3,55902
127,Отпуск по обмену,The Holiday,2006,136,США,мелодрама,Нэнси Майерс,"['Кэмерон Диас', 'Кейт Уинслет']",8.3,161413
128,Кин-дза-дза!,,1986,135,СССР,фантастика,Георгий Данелия,"['Станислав Любшин', 'Евгений Леонов']",8.3,55992
129,Терминал,The Terminal,2004,124,США,драма,Стивен Спилберг,"['Том Хэнкс', 'Кэтрин Зета-Джонс']",8.3,71724
130,Апокалипсис,Apocalypto,2006,139,США,боевик,Мэл Гибсон,"['Руди Янгблад', 'Далия Эрнандес']",8.3,73578
131,"Хороший, плохой, злой","Il buono, il brutto, il cattivo",1966,178,Италия,вестерн,Серджио Леоне,"['Клинт Иствуд', 'Ли Ван Клиф']",8.3,11574
132,Общество мертвых поэтов,Dead Poets Society,1989,128,США,драма,Питер Уир,"['Робин Уильямс', 'Роберт Шон Леонард']",8.3,18328
133,Чудо,Wonder,2017,113,США,драма,Стивен Чбоски,"['Джейкоб Тремблей', 'Оуэн Уилсон']",8.3,54171
134,Белое солнце пустыни,,1969,84,СССР,боевик,Владимир Мотыль,"['Анатолий Кузнецов', 'Спартак Мишулин']",8.3,56370
135,Гарри Поттер и Дары Смерти: Часть II,Harry Potter and the Deathly Hallows - Part 2,2011,130,Великобритания,фэнтези,Дэвид Йейтс,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.2,53035
136,Алеша Попович и Тугарин Змей,,2004,79,Россия,мультфильм,Константин Бронзит,"['Олег Куликович', 'Дмитрий Высоцкий']",8.2,103494
137,Привидение,Ghost,1990,127,США,мелодрама,Джерри Цукер,"['Патрик Суэйзи', 'Деми Мур']",8.2,56825
138,Собачья жизнь,A Dog's Purpose,2017,100,США,фэнтези,Лассе Халльстрём,"['Джош Гад', 'Деннис Куэйд']",8.2,26884
139,Один дома,Home Alone,1990,103,США,комедия,Крис Коламбус,"['Маколей Калкин', 'Джо Пеши']",8.2,197852
140,Ученик чудовища,Bakemono no ko,2015,119,Япония,аниме,Мамору Хосода,"['Сёта Сомэтани', 'Кодзи Якусё']",8.2,46829
141,Ветер крепчает,Kaze tachinu,2013,126,Япония,аниме,Хаяо Миядзаки,"['Хидэаки Анно', 'Миори Такимото']",8.2,17323
142,Мимино,,1977,92,СССР,драма,Георгий Данелия,"['Вахтанг Кикабидзе', 'Фрунзик Мкртчян']",8.2,38682
143,Назад в будущее 2,Back to the Future Part II,1989,108,США,фантастика,Роберт Земекис,"['Майкл Дж. Фокс', 'Кристофер Ллойд']",8.2,31248
144,Корпорация монстров,"Monsters, Inc.",2001,92,США,мультфильм,Пит Доктер,"['Джон Гудман', 'Билли Кристал']",8.2,68371
145,Собака на сене,,1977,138,СССР,мюзикл,Ян Фрид,"['Маргарита Терехова', 'Михаил Боярский']",8.2,19586
146,Маугли дикой планеты,Terra Willy: Planète inconnue,2019,90,Франция,мультфильм,Эрик Тости,"['Тимоте Фон Дорп', 'Эдуард Баэр']",8.2,46725
147,Омерзительная восьмерка,The Hateful Eight,2015,168,США,вестерн,Квентин Тарантино,"['Курт Рассел', 'Сэмюэл Л. Джексон']",8.2,37557
148,Монстры на каникулах,Hotel Transylvania,2012,91,США,мультфильм,Генндий Тартаковский,"['Адам Сэндлер', 'Энди Сэмберг']",8.2,125113
149,Могила светлячков,Hotaru no Haka,1988,88,Япония,аниме,Исао Такахата,"['Цутому Тацуми', 'Аяно Сираиси']",8.2,9457
150,Приключения Шерлока Холмса и доктора Ватсона: Охота на тигра,,1980,65,СССР,криминал,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.2,11812
151,Счастье в конверте,,2019,98,Россия,семейный,Светлана Суханова,"['Фёдор Лещев', 'Ефим Каменецкий']",8.2,44370
152,Рататуй,Ratatouille,2007,111,США,мультфильм,Брэд Бёрд,"['Пэттон Освальт', 'Иэн Холм']",8.2,109459
153,Жестокий романс,,1984,137,СССР,драма,Эльдар Рязанов,"['Лариса Гузеева', 'Андрей Мягков']",8.2,33496
154,Жизнь других,Das Leben der Anderen,2006,137,Германия,триллер,Флориан Хенкель фон Доннерсмарк,"['Ульрих  Мюэ', 'Себастьян Кох']",8.2,54286
155,Унесённые ветром,Gone with the Wind,1939,222,США,мелодрама,Виктор Флеминг,"['Вивьен Ли', 'Кларк Гейбл']",8.2,19835
156,Лекарь: Ученик Авиценны,The Physician,2013,155,Германия,приключения,Филипп Штёльцль,"['Том Пэйн', 'Бен Кингсли']",8.2,111265
157,Запах женщины,Scent of a Woman,1992,156,США,драма,Мартин Брест,"['Аль Пачино', 'Крис О’Доннелл']",8.2,20549
158,Самая обаятельная и привлекательная,,1985,81,СССР,мелодрама,Геральд Бежанов,"['Ирина Муравьёва', 'Татьяна Васильева']",8.2,59835
159,Мстители: Война бесконечности,Avengers: Infinity War,2018,149,США,фантастика,Энтони Руссо,"['Роберт Дауни мл.', 'Крис Хемсворт']",8.2,78258
160,Подольские курсанты,,2020,136,Россия,военный,Вадим Шмелев,"['Алексей Бардуков', 'Евгений Дятлов']",8.2,84200
161,По семейным обстоятельствам,,1978,128,СССР,драма,Алексей Коренев,"['Галина Польских', 'Евгения Ханаева']",8.2,28000
162,Прислуга,The Help,2011,146,США,драма,Тейт Тейлор,"['Эмма Стоун', 'Виола Дэвис']",8.2,35231
