,ru_name,en_name,year,length,country,genre,director,cast,rating,ratings_number
163,Звёздные войны: Эпизод 3 — Месть ситхов,Star Wars: Episode III - Revenge of the Sith,2005,140,США,фантастика,Джордж Лукас,"['Юэн Макгрегор', 'Натали Портман']",8.2,23762
164,Обыкновенное чудо,,1978,137,СССР,мюзикл,Марк Захаров,"['Олег Янковский', 'Ирина Купченко']",8.2,23933
165,Король говорит!,The King's Speech,2010,118,Великобритания,драма,Том Хупер,"['Колин Фёрт', 'Джеффри Раш']",8.2,71683
166,Творение Господне,Something the Lord Made,2004,110,США,драма,Джозеф Сарджент,"['Ясин Бей', 'Алан Рикман']",8.2,31008
167,Шерлок Холмс и доктор Ватсон: Двадцатый век начинается,,1986,150,СССР,триллер,Игорь Масленников,"['Василий Ливанов', 'Виталий Соломин']",8.2,16212
168,Счастливое число Слевина,Lucky Number Slevin,2005,110,США,триллер,Пол Макгиган,"['Джош Хартнетт', 'Брюс Уиллис']",8.2,86639
169,Достать ножи,Knives Out,2019,130,США,детектив,Райан Джонсон,"['Дэниэл Крэйг', 'Ана де Армас']",8.2,212487
170,Пираты Карибского моря: Сундук мертвеца,Pirates of the Caribbean: Dead Man's Chest,2006,151,США,фэнтези,Гор Вербински,"['Джонни Депп', 'Орландо Блум']",8.2,86419
171,День сурка,Groundhog Day,1993,101,США,фэнтези,Харольд Рэмис,"['Билл Мюррей', 'Энди Макдауэлл']",8.2,57410
172,Расправь крылья,Donne-moi des ailes,2019,113,Франция,драма,Николя Ванье,"['Жан-Поль Рув', 'Мелани Дотей']",8.2,18945
173,Человек дождя,Rain Man,1988,133,США,драма,Барри Левинсон,"['Дастин Хоффман', 'Том Круз']",8.2,52133
174,Любовь и голуби,,1984,107,СССР,мелодрама,Владимир Меньшов,"['Александр Михайлов', 'Нина Дорошина']",8.2,192610
175,Игра,The Game,1997,129,США,триллер,Дэвид Финчер,"['Майкл Дуглас', 'Шон Пенн']",8.2,49562
176,Белорусский вокзал,,1970,95,СССР,драма,Андрей Смирнов,"['Евгений Леонов', 'Анатолий Папанов']",8.2,13896
177,Доктор,,2022,120,Россия,драма,Артём Темников,"['Сергей Пускепалис', 'Ольга Цирсен']",8.2,131958
178,Зверополис,Zootopia,2016,108,США,мультфильм,Байрон Ховард,"['Джиннифер Гудвин', 'Джейсон Бейтман']",8.2,153218
179,Человек с бульвара Капуцинов,,1987,98,СССР,вестерн,Алла Сурикова,"['Андрей Миронов', 'Александра Яковлева']",8.2,31758
180,Республика ШКИД,,1966,103,СССР,драма,Геннадий Полока,"['Сергей Юрский', 'Юлия Бурыгина']",8.2,14636
181,Оппенгеймер,Oppenheimer,2023,180,США,биография,Кристофер Нолан,"['Киллиан Мерфи', 'Эмили Блант']",8.2,191322
182,Ла-Ла Ленд,La La Land,2016,128,США,мюзикл,Дэмьен Шазелл,"['Райан Гослинг', 'Эмма Стоун']",8.2,61956
183,Пролетая над гнездом кукушки,One Flew Over the Cuckoo's Nest,1975,133,США,драма,Милош Форман,"['Джек Николсон', 'Луиза Флетчер']",8.2,23652
184,Таксист,Taeksi unjeonsa,2017,137,Корея Южная,история,Чан Хун,"['Сон Кан-хо', 'Томас Кречман']",8.2,46928
185,Весна на Заречной улице,,1956,90,СССР,драма,Марлен Хуциев,"['Нина Иванова', 'Николай Рыбников']",8.2,52130
186,Профессионал,Le professionnel,1981,108,Франция,боевик,Жорж Лотнер,"['Жан-Поль Бельмондо', 'Жан Дезайи']",8.2,25680
187,12 лет рабства,12 Years a Slave,2013,133,Великобритания,драма,Стив МакКуин,"['Чиветель Эджиофор', 'Майкл Фассбендер']",8.2,81413
188,Вокзал для двоих,,1982,141,СССР,драма,Эльдар Рязанов,"['Людмила Гурченко', 'Олег Басилашвили']",8.2,39242
189,Догвилль,Dogville,2003,178,Дания,триллер,Ларс фон Триер,"['Николь Кидман', 'Пол Беттани']",8.2,26654
190,Загадочная история Бенджамина Баттона,The Curious Case of Benjamin Button,2008,166,США,драма,Дэвид Финчер,"['Брэд Питт', 'Кейт Бланшетт']",8.2,46511
191,Душа,Soul,2020,106,США,мультфильм,Пит Доктер,"['Джейми Фокс', 'Тина Фей']",8.2,72087
192,Искупление,Atonement,2007,120,Великобритания,драма,Джо Райт,"['Кира Найтли', 'Джеймс Макэвой']",8.2,41571
193,Восточный ветер,Ostwind,2013,106,Германия,приключения,Катя фон Гарнье,"['Ханна Бинке', 'Марвин Линке']",8.2,29567
194,Формула любви,,1984,90,СССР,мелодрама,Марк Захаров,"['Нодар Мгалоблишвили', 'Александр Абдулов']",8.2,25581
195,Невидимая сторона,The Blind Side,2009,129,США,драма,Джон Ли Хэнкок,"['Сандра Буллок', 'Куинтон Аарон']",8.2,43451
196,Дневник памяти,The Notebook,2004,124,США,драма,Ник Кассаветис,"['Райан Гослинг', 'Рэйчел Макадамс']",8.2,37719
197,Амели,Le Fabuleux destin d'Amélie Poulain,2001,122,Франция,мелодрама,Жан-Пьер Жёне,"['Одри Тоту', 'Матьё Кассовиц']",8.2,54470
198,Приключения Реми,Rémi sans famille,2018,105,Франция,мелодрама,Антуан Блоссье,"['Малом Пакуин', 'Даниель Отой']",8.2,30171
199,Такси,Taxi,1998,89,Франция,боевик,Жерар Пирес,"['Сами Насери', 'Фредерик Дифенталь']",8.2,107950
200,В джазе только девушки,Some Like It Hot,1959,119,США,мелодрама,Билли Уайлдер,"['Мэрилин Монро', 'Тони Кертис']",8.2,29514
201,Шёпот сердца,Mimi wo sumaseba,1995,111,Япония,аниме,Ёсифуми Кондо,"['Ёко Хонна', 'Иссэй Такахаси']",8.2,10693
202,"Свой среди чужих, чужой среди своих",,1974,93,СССР,боевик,Никита Михалков,"['Юрий Богатырев', 'Александр Кайдановский']",8.2,31857
203,Мальчик в полосатой пижаме,The Boy in the Striped Pajamas,2008,94,Великобритания,драма,Марк Херман,"['Эйса Баттерфилд', 'Джек Скэнлон']",8.2,34939
204,Доктор Лиза,,2020,120,Россия,драма,Оксана Карас,"['Чулпан Хаматова', 'Анджей Хыра']",8.2,25012
205,Билли Эллиот,Billy Elliot,2000,110,Великобритания,драма,Стивен Долдри,"['Джейми Белл', 'Джули Уолтерс']",8.2,55997
206,Доспехи Бога 2: Операция Кондор,Fei ying gai wak,1991,98,Гонконг,боевик,Джеки Чан,"['Джеки Чан', 'Кэрол Чэн']",8.1,29255
207,Легенда №17,,2012,134,Россия,биография,Николай Лебедев,"['Данила Козловский', 'Олег Меньшиков']",8.1,94368
208,Берегись автомобиля,,1966,94,СССР,криминал,Эльдар Рязанов,"['Иннокентий Смоктуновский', 'Олег Ефремов']",8.1,41813
209,Максим Перепелица,,1955,87,СССР,комедия,Анатолий Граник,"['Леонид Быков', 'Александр Борисов']",8.1,34323
210,Дурак,,2014,116,Россия,драма,Юрий Быков,"['Артём Быстров', 'Наталья Суркова']",8.1,75500
211,Реквием по мечте,Requiem for a Dream,2000,102,США,драма,Даррен Аронофски,"['Джаред Лето', 'Марлон Уайанс']",8.1,35822
212,Ворошиловский стрелок,,1999,95,Россия,драма,Станислав Говорухин,"['Михаил Ульянов', 'Анна Синякина']",8.1,119299
213,Мумия,The Mummy,1999,124,США,фэнтези,Стивен Соммерс,"['Брендан Фрейзер', 'Рэйчел Вайс']",8.1,91334
214,Балканский рубеж,,2019,151,Россия,боевик,Андрей Волгин,"['Антон Пампушный', 'Гоша Куценко']",8.1,83281
215,Блеф,Bluff storia di truffe e di imbroglioni,1976,110,Италия,комедия,Серджио Корбуччи,"['Адриано Челентано', 'Энтони Куинн']",8.1,27579
216,Изгой,Cast Away,2000,143,США,драма,Роберт Земекис,"['Том Хэнкс', 'Хелен Хант']",8.1,26947
217,Карнавальная ночь,,1956,78,СССР,комедия,Эльдар Рязанов,"['Игорь Ильинский', 'Людмила Гурченко']",8.1,43144
218,Приходи на меня посмотреть,,2000,101,Россия,мелодрама,Михаил Агранович,"['Олег Янковский', 'Ирина Купченко']",8.1,24285
219,Солдатик,,2018,86,Россия,драма,Виктория Фанасютина,"['Андрей Андреев', 'Виктор Добронравов']",8.1,40885
220,В погоне за счастьем,The Pursuit of Happyness,2006,117,США,драма,Габриэле Муччино,"['Уилл Смит', 'Джейден Смит']",8.1,32045
221,Вверх,Up,2009,96,США,мультфильм,Пит Доктер,"['Эдвард Эснер', 'Кристофер Пламмер']",8.1,44083
222,Афоня,,1975,92,СССР,драма,Георгий Данелия,"['Леонид Куравлёв', 'Евгения Симонова']",8.1,61259
223,Доспехи Бога,Lung hing foo dai,1986,88,Гонконг,боевик,Джеки Чан,"['Джеки Чан', 'Алан Там']",8.1,42089
224,Мулан,Mulan,1998,84,США,мультфильм,Тони Бэнкрофт,"['Эдди Мерфи', 'Лиа Салонга']",8.1,36472
225,Аватар,Avatar,2009,162,США,фантастика,Джеймс Кэмерон,"['Сэм Уортингтон', 'Зои Салдана']",8.1,137366
226,Покорители волн,Chasing Mavericks,2012,111,США,драма,Майкл Аптед,"['Джерард Батлер', 'Джонни Уэстон']",8.1,19876
227,Битва за Севастополь,,2015,118,Россия,военный,Сергей Мокрицкий,"['Юлия Пересильд', 'Евгений Цыганов']",8.1,41065
228,Стражи Галактики. Часть 3,Guardians of the Galaxy Vol. 3,2023,150,США,фантастика,Джеймс Ганн,"['Крис Пратт', 'Карен Гиллан']",8.1,163775
229,Невероятные приключения итальянцев в России,,1973,104,СССР,комедия,Эльдар Рязанов,"['Андрей Миронов', 'Нинетто Даволи']",8.1,37418
230,Троя,Troy,2004,163,США,боевик,Вольфганг Петерсен,"['Брэд Питт', 'Эрик Бана']",8.1,47604
231,Гонка,Rush,2013,123,Великобритания,спорт,Рон Ховард,"['Крис Хемсворт', 'Даниэль Брюль']",8.1,32016
232,Вечера на хуторе близ Диканьки,,1961,66,СССР,фэнтези,Александр Роу,"['Юрий Тавров', 'Людмила Хитяева']",8.1,54740
233,Джуманджи,Jumanji,1995,104,США,фэнтези,Джо Джонстон,"['Робин Уильямс', 'Бонни Хант']",8.1,45337
234,Невезучие,La chèvre,1981,90,Франция,комедия,Франсис Вебер,"['Пьер Ришар', 'Жерар Депардье']",8.1,26069
235,"Там, на неведомых дорожках...",,1982,69,СССР,фэнтези,Михаил Юзовский,"['Роман Монастырский', 'Татьяна Пельтцер']",8.1,14328
236,Крупная рыба,Big Fish,2003,125,США,фэнтези,Тим Бёртон,"['Юэн Макгрегор', 'Альберт Финни']",8.1,25248
237,Жизнь Дэвида Гейла,The Life of David Gale,2002,130,Великобритания,триллер,Алан Паркер,"['Кевин Спейси', 'Кейт Уинслет']",8.1,53998
238,День выборов,,2007,125,Россия,комедия,Олег Фомин,"['Леонид Барац', 'Ростислав Хаит']",8.1,35356
239,Полосатый рейс,,1961,87,СССР,комедия,Владимир Фетин,"['Алексей Грибов', 'Иван Дмитриев']",8.1,54763
240,Законопослушный гражданин,Law Abiding Citizen,2009,108,США,боевик,Ф. Гэри Грей,"['Джейми Фокс', 'Джерард Батлер']",8.1,119693
241,Калина красная,,1973,110,СССР,драма,Василий Шукшин,"['Василий Шукшин', 'Лидия Федосеева-Шукшина']",8.1,29803
242,Темный рыцарь: Возрождение легенды,The Dark Knight Rises,2012,165,США,фантастика,Кристофер Нолан,"['Кристиан Бэйл', 'Том Харди']",8.1,28661
243,Огонь,,2020,131,Россия,драма,Алексей Нужный,"['Константин Хабенский', 'Иван Янковский']",8.1,117111
244,Аладдин,Aladdin,1992,90,США,мультфильм,Рон Клементс,"['Скотт Венгер', 'Робин Уильямс']",8.1,31069
245,Зверопой 2,Sing 2,2021,110,США,мультфильм,Гарт Дженнингс,"['Тори Келли', 'Риз Уизерспун']",8.1,42819
246,"Руслан и Людмила. Больше, чем сказка",,2023,95,Россия,мультфильм,Алексей Цицилин,"['Давид Бродский', 'Ирина Обрезкова']",8.1,96902
247,Балто,Balto,1995,71,США,мультфильм,Саймон Уэллс,"['Кевин Бейкон', 'Боб Хоскинс']",8.1,15479
248,Особенности национальной охоты,,1995,93,Россия,комедия,Александр Рогожкин,"['Вилле Хаапасало', 'Алексей Булдаков']",8.1,50092
249,Адвокат дьявола,The Devil's Advocate,1997,144,США,триллер,Тейлор Хэкфорд,"['Киану Ривз', 'Аль Пачино']",8.1,50069
250,Гарри Поттер и Кубок огня,Harry Potter and the Goblet of Fire,2005,157,Великобритания,фэнтези,Майк Ньюэлл,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.1,67056
251,Экипаж,,2016,138,Россия,драма,Николай Лебедев,"['Данила Козловский', 'Владимир Машков']",8.1,80382
252,Кинчем — мое сокровище,Kincsem,2017,121,Венгрия,драма,Габор Херенди,"['Эрвин Надь', 'Андреа Петрик']",8.1,42246
253,Свадьба в Малиновке,,1967,95,СССР,мюзикл,Андрей Тутышкин,"['Владимир Самойлов', 'Людмила Алфимова']",8.1,59107
254,Восточный ветер 3: Наследие Оры,Ostwind 3 - Aufbruch nach Ora,2017,110,Германия,драма,Катя фон Гарнье,"['Ханна Бинке', 'Яннис Нивёнер']",8.1,13832
255,Железный человек,Iron Man,2008,126,США,фантастика,Джон Фавро,"['Роберт Дауни мл.', 'Джефф Бриджес']",8.1,92269
256,О чём говорят мужчины,,2010,93,Россия,комедия,Дмитрий Дьяченко,"['Леонид Барац', 'Александр Демидов']",8.1,76489
257,Американская история X,American History X,1998,119,США,драма,Тони Кэй,"['Эдвард Нортон', 'Эдвард Ферлонг']",8.1,16191
258,Опасная игра Слоун,Miss Sloane,2016,132,США,драма,Джон Мэдден,"['Джессика Честейн', 'Марк Стронг']",8.1,56561
259,Кунг-фу Панда,Kung Fu Panda,2008,91,США,мультфильм,Марк Осборн,"['Джек Блэк', 'Дастин Хоффман']",8.1,49108
260,Пираты Карибского моря: На краю света,Pirates of the Caribbean: At World's End,2007,169,США,приключения,Гор Вербински,"['Джонни Депп', 'Джеффри Раш']",8.1,74117
261,Спасти рядового Райана,Saving Private Ryan,1998,169,США,военный,Стивен Спилберг,"['Том Хэнкс', 'Том Сайзмор']",8.1,24785
262,Назад в будущее 3,Back to the Future Part III,1990,118,США,фантастика,Роберт Земекис,"['Майкл Дж. Фокс', 'Кристофер Ллойд']",8.1,25271
263,Хоккейные папы,,2023,131,Россия,спорт,Андрей Булатов,"['Алексей Бардуков', 'Аня Чиповская']",8.1,197733
264,Золотой телёнок,,1968,164,СССР,комедия,Михаил Швейцер,"['Сергей Юрский', 'Леонид Куравлёв']",8.1,20315
265,Гарри Поттер и Принц-полукровка,Harry Potter and the Half-Blood Prince,2009,153,Великобритания,фэнтези,Дэвид Йейтс,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.1,58203
266,Гараж,,1979,96,СССР,драма,Эльдар Рязанов,"['Валентин Гафт', 'Ия Саввина']",8.1,23314
267,Невероятный мир глазами Энцо,The Art of Racing in the Rain,2019,109,США,драма,Саймон Кёртис,"['Кевин Костнер', 'Майло Вентимилья']",8.1,20033
268,Век Адалин,The Age of Adaline,2015,113,США,драма,Ли Толанд Кригер,"['Блейк Лайвли', 'Михил Хёйсман']",8.1,92438
269,Области тьмы,Limitless,2011,105,США,триллер,Нил Бёргер,"['Брэдли Купер', 'Роберт Де Ниро']",8.1,119963
270,Головоломка,Inside Out,2015,95,США,мультфильм,Пит Доктер,"['Эми Полер', 'Филлис Смит']",8.1,64950
271,Лучшее предложение,La migliore offerta,2012,131,Италия,триллер,Джузеппе Торнаторе,"['Джеффри Раш', 'Джим Стёрджесс']",8.1,92535
272,Реальная любовь,Love Actually,2003,129,Великобритания,мелодрама,Ричард Кёртис,"['Хью Грант', 'Билл Найи']",8.1,66097
273,Последний самурай,The Last Samurai,2003,154,США,боевик,Эдвард Цвик,"['Кэн Ватанабэ', 'Том Круз']",8.1,19773
274,Гостиница Окко,Wakaokami wa Shougakusei!,2018,94,Япония,аниме,Китаро Косака,"['Сэиран Кобаяси', 'Рина Эндо']",8.1,19655
275,Храброе сердце,Braveheart,1995,178,США,история,Мэл Гибсон,"['Мэл Гибсон', 'Софи Марсо']",8.1,32430
276,Коралина в Стране Кошмаров,Coraline,2008,100,США,мультфильм,Генри Селик,"['Дакота Фаннинг', 'Кит Дэвид']",8.1,36629
277,Порко Россо,Kurenai no buta,1992,94,Япония,аниме,Хаяо Миядзаки,"['Сюитиро Морияма', 'Токико Като']",8.1,9924
278,Добрыня Никитич и Змей Горыныч,,2006,68,Россия,мультфильм,Илья Максимов,"['Валерий Соловьев', 'Юрий Тарасов']",8.1,45392
279,Бронкская история,A Bronx Tale,1993,121,США,драма,Роберт Де Ниро,"['Роберт Де Ниро', 'Чазз Пальминтери']",8.1,20363
280,Отель «Гранд Будапешт»,The Grand Budapest Hotel,2014,100,США,комедия,Уэс Андерсон,"['Рэйф Файнс', 'Тони Револори']",8.1,47941
281,Сталкер,,1979,163,СССР,фантастика,Андрей Тарковский,"['Александр Кайдановский', 'Анатолий Солоницын']",8.1,27065
282,"Ирония судьбы, или С легким паром!",,1975,184,СССР,мелодрама,Эльдар Рязанов,"['Андрей Мягков', 'Барбара Брыльска']",8.1,86205
283,Далласский клуб покупателей,Dallas Buyers Club,2013,118,США,драма,Жан-Марк Валле,"['Мэттью Макконахи', 'Дженнифер Гарнер']",8.1,87502
284,Славные парни,Goodfellas,1990,140,США,драма,Мартин Скорсезе,"['Роберт Де Ниро', 'Рэй Лиотта']",8.1,15620
285,Экипаж,,1979,135,СССР,боевик,Александр Митта,"['Георгий Жжёнов', 'Анатолий Васильев']",8.0,26463
286,Вечное сияние чистого разума,Eternal Sunshine of the Spotless Mind,2004,108,США,мелодрама,Мишель Гондри,"['Джим Керри', 'Кейт Уинслет']",8.0,27409
287,Побег из космоса,Boonie Bears: Back To Earth,2022,100,Китай,мультфильм,Линь Хуэйда,"['Чжан Бинцзюнь', 'Ли Ваньяо']",8.0,21112
288,Трасса 60,Interstate 60,2001,116,Канада,фантастика,Боб Гейл,"['Джеймс Марсден', 'Гари Олдман']",8.0,28192
289,Безумно влюблённый,Innamorato pazzo,1981,102,Италия,мелодрама,Франко Кастеллано,"['Адриано Челентано', 'Орнелла Мути']",8.0,21498
290,Андрей Рублев,,1966,175,СССР,драма,Андрей Тарковский,"['Анатолий Солоницын', 'Иван Лапиков']",8.0,8664
291,Её заветное желание,Josee to Tora to Sakana-tachi,2020,99,Япония,аниме,Котаро Тамура,"['Кая Киёхара', 'Таиси Накагава']",8.0,30505
292,Невозможное,Lo imposible,2012,109,Испания,драма,Хуан Антонио Байона,"['Наоми Уоттс', 'Юэн Макгрегор']",8.0,39770
293,Легенда о пианисте,La leggenda del pianista sull'oceano,1998,120,Италия,драма,Джузеппе Торнаторе,"['Тим Рот', 'Прюитт Тэйлор Винс']",8.0,14773
294,Лапа,Mancs,2015,92,Венгрия,драма,Роберт-Адриан Пежо,"['Жольт Трилль', 'Тамаш Керестеш']",8.0,39976
295,Землетрясение,Tangshan da dizhen,2010,139,Китай,драма,Фэн Сяоган,"['Сюй Фань', 'Чжан Цзинчу']",8.0,56418
296,Ford против Ferrari,Ford v Ferrari,2019,152,США,биография,Джеймс Мэнголд,"['Кристиан Бэйл', 'Мэтт Дэймон']",8.0,61149
297,Шоколад,Chocolat,2000,121,Великобритания,драма,Лассе Халльстрём,"['Жюльет Бинош', 'Джуди Денч']",8.0,28065
298,Стражи Галактики,Guardians of the Galaxy,2014,121,США,фантастика,Джеймс Ганн,"['Крис Пратт', 'Зои Салдана']",8.0,70380
299,Пожары,Incendies,2010,131,Канада,драма,Дени Вильнёв,"['Лубна Азабаль', 'Мелисса Дезормо-Полен']",8.0,35211
300,Ошибка резидента,,1968,134,СССР,детектив,Вениамин Дорман,"['Георгий Жжёнов', 'Михаил Ножкин']",8.0,11626
301,Папа,,2004,94,Россия,драма,Владимир Машков,"['Владимир Машков', 'Егор Бероев']",8.0,20557
302,Семьянин,The Family Man,2000,125,США,фэнтези,Бретт Рэтнер,"['Николас Кейдж', 'Теа Леони']",8.0,67614
303,Спортлото-82,,1982,89,СССР,комедия,Леонид Гайдай,"['Альгис Арлаускас', 'Светлана Аманова']",8.0,54578
304,Семь жизней,Seven Pounds,2008,118,США,драма,Габриэле Муччино,"['Уилл Смит', 'Розарио Доусон']",8.0,30111
305,Танцующая в темноте,Dancer in the Dark,2000,140,Дания,мюзикл,Ларс фон Триер,"['Бьорк', 'Катрин Денёв']",8.0,8453
306,Гарри Поттер и Дары Смерти: Часть I,Harry Potter and the Deathly Hallows - Part 1,2010,146,Великобритания,фэнтези,Дэвид Йейтс,"['Дэниэл Рэдклифф', 'Руперт Гринт']",8.0,52338
307,Гадкий я,Despicable Me,2010,95,США,мультфильм,Пьер Коффан,"['Стив Карелл', 'Джейсон Сигел']",8.0,91005
308,Парк Юрского периода,Jurassic Park,1993,127,США,приключения,Стивен Спилберг,"['Сэм Нил', 'Лора Дерн']",8.0,33264
309,Не могу сказать «прощай»,,1982,91,СССР,драма,Борис Дуров,"['Сергей Варчук', 'Анастасия Иванова']",8.0,22999
310,Красота по-американски,American Beauty,1999,122,США,драма,Сэм Мендес,"['Кевин Спейси', 'Аннетт Бенинг']",8.0,14059
311,День радио,,2008,98,Россия,комедия,Дмитрий Дьяченко,"['Ростислав Хаит', 'Камиль Ларин']",8.0,25683
312,Васаби,Wasabi,2001,94,Франция,боевик,Жерар Кравчик,"['Жан Рено', 'Рёко Хиросуэ']",8.0,88470
313,Такси 2,Taxi 2,2000,88,Франция,боевик,Жерар Кравчик,"['Сами Насери', 'Фредерик Дифенталь']",8.0,65284
314,Олдбой,Oldeuboi,2003,120,Корея Южная,триллер,Пак Чхан-ук,"['Чхве Мин-сик', 'Ю Джи-тхэ']",8.0,62312
315,Лицо со шрамом,Scarface,1983,170,США,драма,Брайан Де Пальма,"['Аль Пачино', 'Стивен Бауэр']",8.0,18577
316,Евгений Гришковец: Шепот сердца,,2017,128,Россия,драма,Павел Судаков,['Евгений Гришковец'],8.0,5585
317,Спеши любить,A Walk to Remember,2002,101,США,драма,Адам Шенкман,"['Шейн Уэст', 'Мэнди Мур']",8.0,33547
318,Ледниковый период,Ice Age,2002,81,США,мультфильм,Крис Уэдж,"['Рэй Романо', 'Джон Легуизамо']",8.0,44515
319,Бесподобный мистер Фокс,Fantastic Mr. Fox,2009,87,Великобритания,мультфильм,Уэс Андерсон,"['Джордж Клуни', 'Мэрил Стрип']",8.0,10890
320,Маленький Николя,Le petit Nicolas: Qu'est-ce qu'on attend pour être heureux?,2022,82,Франция,мультфильм,Амандин Фредон,"['Симон Фалю', 'Ален Шаба']",8.0,6874
321,Воин,Warrior,2011,140,США,драма,Гэвин О’Коннор,"['Джоэл Эдгертон', 'Том Харди']",8.0,27568
322,Спирит: Душа прерий,Spirit: Stallion of the Cimarron,2002,83,США,мультфильм,Келли Эсбёри,"['Мэтт Дэймон', 'Джеймс Кромуэлл']",8.0,16423
323,В поисках Немо,Finding Nemo,2003,101,США,мультфильм,Эндрю Стэнтон,"['Альберт Брукс', 'Эллен ДеДженерес']",8.0,50633
324,Работа без авторства,Werk ohne Autor,2018,189,Германия,биография,Флориан Хенкель фон Доннерсмарк,"['Том Шиллинг', 'Себастьян Кох']",8.0,33393
325,Легенда о волках,WolfWalkers,2020,103,Ирландия,мультфильм,Томм Мур,"['Онор Нифси', 'Эва Уитэйкер']",8.0,7431
326,Усатый нянь,,1977,75,СССР,комедия,Владимир Грамматиков,"['Сергей Проханов', 'Людмила Шагалова']",8.0,18977
327,Кот в сапогах 2: Последнее желание,Puss in Boots: The Last Wish,2022,102,США,мультфильм,Джоэль Кроуфорд,"['Антонио Бандерас', 'Сальма Хайек']",8.0,56166
328,Бешеные псы,Reservoir Dogs,1991,100,США,криминал,Квентин Тарантино,"['Харви Кейтель', 'Тим Рот']",8.0,20241
329,Скрытые фигуры,Hidden Figures,2016,127,США,драма,Тед Мелфи,"['Тараджи П. Хенсон', 'Октавия Спенсер']",8.0,26441
330,Апокалипсис сегодня,Apocalypse Now,1979,194,США,военный,Фрэнсис Форд Коппола,"['Марлон Брандо', 'Мартин Шин']",8.0,10431
331,Казино,Casino,1995,171,США,драма,Мартин Скорсезе,"['Роберт Де Ниро', 'Шэрон Стоун']",8.0,13106
